ZRSI2,ZrSi2,413      688,Zirconium Silicide
,,,
Filename,Symbol,Range (nm),Description
Temperature Dependent Data (degC),,,
ALAS028T,AlAs,275      987,Aluminum Arsenide (Temp: 28 C)
ALAS052T,AlAs,275      987,Aluminum Arsenide (Temp: 52 C)
ALAS072T,AlAs,275      987,Aluminum Arsenide (Temp: 72 C)
ALAS098T,AlAs,275      987,Aluminum Arsenide (Temp: 98 C)
ALAS125T,AlAs,275      987,Aluminum Arsenide (Temp: 125 C)
ALAS152T,AlAs,275      987,Aluminum Arsenide (Temp: 152 C)
ALAS178T,AlAs,275      987,Aluminum Arsenide (Temp: 178 C)
ALAS204T,AlAs,275      987,Aluminum Arsenide (Temp: 204 C)
ALAS228T,AlAs,275      987,Aluminum Arsenide (Temp: 228 C)
ALAS305T,AlAs,275      987,Aluminum Arsenide (Temp: 305 C)
ALAS331T,AlAs,275      987,Aluminum Arsenide (Temp: 331 C)
ALAS361T,AlAs,275      987,Aluminum Arsenide (Temp: 361 C)
ALAS390T,AlAs,275      987,Aluminum Arsenide (Temp: 390 C)
ALAS421T,AlAs,275      987,Aluminum Arsenide (Temp: 421 C)
ALAS445T,AlAs,275      987,Aluminum Arsenide (Temp: 445 C)
ALAS469T,AlAs,275      987,Aluminum Arsenide (Temp: 469 C)
ALAS499T,AlAs,275      987,Aluminum Arsenide (Temp: 499 C)
ALAS527T,AlAs,275      987,Aluminum Arsenide (Temp: 527 C)
ALAS552T,AlAs,275      987,Aluminum Arsenide (Temp: 552 C)
ALAS578T,AlAs,275      987,Aluminum Arsenide (Temp: 578 C)
ALAS602T,AlAs,275      987,Aluminum Arsenide (Temp: 602 C)
ALAS626T,AlAs,275      987,Aluminum Arsenide (Temp: 626 C)
GAAS031T,GaAs,275      999,Gallium Arsenide (Temp: 31 C)
GAAS041T,GaAs,275      999,Gallium Arsenide (Temp: 41 C)
GAAS060T,GaAs,275      999,Gallium Arsenide (Temp: 60 C)
GAAS081T,GaAs,275      999,Gallium Arsenide (Temp: 81 C)
GAAS103T,GaAs,275      999,Gallium Arsenide (Temp: 103 C)
GAAS126T,GaAs,275      999,Gallium Arsenide (Temp: 126 C)
GAAS150T,GaAs,275      999,Gallium Arsenide (Temp: 150 C)
GAAS175T,GaAs,275      999,Gallium Arsenide (Temp: 175 C)
GAAS199T,GaAs,275      999,Gallium Arsenide (Temp: 199 C)
GAAS224T,GaAs,275      999,Gallium Arsenide (Temp: 224 C)
GAAS249T,GaAs,275      999,Gallium Arsenide (Temp: 249 C)
GAAS273T,GaAs,275      999,Gallium Arsenide (Temp: 273 C)
GAAS297T,GaAs,275      999,Gallium Arsenide (Temp: 297 C)
GAAS320T,GaAs,275      999,Gallium Arsenide (Temp: 320 C)
GAAS344T,GaAs,275      999,Gallium Arsenide (Temp: 344 C)
GAAS367T,GaAs,275      999,Gallium Arsenide (Temp: 367 C)
GAAS391T,GaAs,275      999,Gallium Arsenide (Temp: 391 C)
GAAS415T,GaAs,275      999,Gallium Arsenide (Temp: 415 C)
GAAS443T,GaAs,275      999,Gallium Arsenide (Temp: 443 C)
GAAS465T,GaAs,275      999,Gallium Arsenide (Temp: 465 C)
GAAS488T,GaAs,275      999,Gallium Arsenide (Temp: 488 C)
GAAS515T,GaAs,275      999,Gallium Arsenide (Temp: 515 C)
GAAS546T,GaAs,275      999,Gallium Arsenide (Temp: 546 C)
GAAS579T,GaAs,275      999,Gallium Arsenide (Temp: 579 C)
GAAS603T,GaAs,275      999,Gallium Arsenide (Temp: 603 C)
GAAS634T,GaAs,275      999,Gallium Arsenide (Temp: 634 C)
SICR-T02,Si,263      826,Crystalline Silicon (Temp: 20 C)
SICR-T10,Si,263      826,Crystalline Silicon (Temp: 100 C)
SICR-T15,Si,263      826,Crystalline Silicon (Temp: 150 C)
SICR-T20,Si,263      826,Crystalline Silicon (Temp: 200 C)
SICR-T25,Si,263      826,Crystalline Silicon (Temp: 250 C)
SICR-T30,Si,263      826,Crystalline Silicon (Temp: 300 C)
SICR-T35,Si,263      826,Crystalline Silicon (Temp: 350 C)
SICR-T40,Si,263      826,Crystalline Silicon (Temp: 400 C)
SICR-T45,Si,263      826,Crystalline Silicon (Temp: 450 C)
,,,
Filename,Symbol,Range (nm),Description
Compositionally Varying Data,,,
ALGAINP,AlGaInP,225     1000,Aluminimum Gallium Indium Phosphide (varying Al fraction 0-100%: 50% In and P)
ALGAINP00,(Al0Ga1)0.5In0.5P,225     1000,Aluminum Gallium Indium Phosphide (0% Al)
ALGAINP10,(Al.1Ga.9)0.5In0.5P,225     1000,Aluminum Gallium Indium Phosphide (10% Al)
ALGAINP30,(Al.3Ga.7)0.5In0.5P,225     1000,Aluminum Gallium Indium Phosphide (30% Al)
ALGAINP60,(Al.6Ga.4)0.5In0.5P,225     1000,Aluminum Gallium Indium Phosphide (60% Al)
ALGAINP70,(Al.7Ga.3)0.5In0.5P,225     1000,Aluminum Gallium Indium Phosphide (70% Al)
ALGAINP100,(Al1Ga0)0.5In0.5P,225     1000,Aluminum Gallium Indium Phosphide (100% Al)
ALGAAS,AlGaAs,206     2479,Aluminum Gallium Arsenide (varying Al fraction 0-100%)
ALGAAS00,GaAs,206     2479,Aluminum Gallium Arsenide (0% Al)
ALGAAS10,Al0.099Ga0.901As,206     826,Aluminum Gallium Arsenide (10% Al)
ALGAAS20,Al0.198Ga0.802As,206     826,Aluminum Gallium Arsenide (20% Al)
ALGAAS30,Al0.315Ga0.685As,206     826,Aluminum Gallium Arsenide (30% Al)
ALGAAS40,Al0.419Ga0.581As,206     826,Aluminum Gallium Arsenide (40% Al)
ALGAAS50,Al0.491Ga0.509As,206     826,Aluminum Gallium Arsenide (50% Al)
ALGAAS60,Al0.590Ga0.410As,206     826,Aluminum Gallium Arsenide (60% Al)
ALGAAS70,Al0.700Ga0.300As,206     826,Aluminum Gallium Arsenide (70% Al)
ALGAAS80,Al0.804Ga0.196As,206     826,Aluminum Gallium Arsenide (80% Al)
ALGAAS90,Al0.901Ga0.099As,206     826,Aluminum Gallium Arsenide (90% Al)
ALGAAS100,AlAs,206     2479,Aluminum Gallium Arsenide (100% Al)
HGCDTE,HgCdTe,200      900,Mercury Cadmium Telluride (varying Cd fraction 0-29%)
HGCDTE0,HgTe,200      900,Mercury Cadmium Telluride (0% Cd)
HGCDTE2,Hg0.8Cd0.2Te,200      900,Mercury Cadmium Telluride (20% Cd)
HGCDTE3,Hg0.71Cd0.29Te,200      900,Mercury Cadmium Telluride (29% Cd)
INGASB,InGaSb,225      825,Indium Gallium Antimonide (varying Ga fraction 0-100%)
INGASB0,InSb,225      825,Indium Gallium Antimonide (0% Ga)
INGASB1,In0.9Ga0.1Sb,225      825,Indium Gallium Antimonide (10% Ga)
INGASB3,In0.7Ga0.3Sb,225      825,Indium Gallium Antimonide (30% Ga)
INGASB5,In0.5Ga0.5Sb,225      825,Indium Gallium Antimonide (50% Ga)
INGASB7,In0.3Ga0.7Sb,225      825,Indium Gallium Antimonide (70% Ga)
INGASB9,In0.1Ga0.9Sb,225      825,Indium Gallium Antimonide (90% Ga)
INGASB10,GaSb,225      825,Indium Gallium Antimonide (100% Ga)
RESIGE,Relaxed SIGe,163     Varies*,Relaxed Silicon Germanium (varying Ge fraction 11-100%)
RESIGE0,Si0.89Ge0.11,163     2479,Silicon Germanium alloy (relaxed: 11% Ge)   
RESIGE22,Si0.78Ge0.22,163     729,Silicon Germanium alloy (relaxed: 22% Ge)
RESIGE39,Si0.61Ge0.39,163     729,Silicon Germanium alloy (relaxed: 39% Ge)
RESIGE51,Si0.49Ge0.51,164     729,Silicon Germanium alloy (relaxed: 51% Ge)
RESIGE64,Si0.36Ge0.64,165     729,Silicon Germanium alloy (relaxed: 64% Ge)
RESIGE75,Si0.25Ge0.75,166     729,Silicon Germanium alloy (relaxed: 75% Ge)
RESIGE83,Si0.17Ge0.83,167     729,Silicon Germanium alloy (relaxed: 83% Ge)
RESIGE91,Si0.09Ge0.91,168     729,Silicon Germanium alloy (relaxed: 91% Ge)
RESIGE1,Ge,163     2479,Silicon Germanium alloy (relaxed: 100% Ge)
REINGAAS,Relaxed InGaAs,206     Varies*,Relaxed Indium Galium Arsenide (varying In fraction 0-24%)
REINGAS0,GaAs,206     2479,Indium Gallium Arsenide (relaxed: 0% In)
RINGAS10,In0.1Ga0.9As,206     840,Indium Gallium Arsenide (relaxed: 10% In)
RINGAS20,In0.2Ga0.8As,206     954,Indium Gallium Arsenide (relaxed: 20% In)
RINGAS24,In0.24Ga0.76As,206     8265,Indium Gallium Arsenide (relaxed: 24% In)
SIGE,SiGe,240      840,Silicon Germanium (varying Si fraction 11-98%)
SI11GE89,Si0.11Ge0.89,240      840,Silicon Germanium alloy (11% Si)
SI20GE80,Si0.20Ge0.80,240      840,Silicon Germanium alloy (20% Si)
SI28GE72,Si0.28Ge0.74,240      840,Silicon Germanium alloy (28% Si)
SI65GE35,Si0.65Ge0.35,240      840,Silicon Germanium alloy (65% Si)
SI85GE15,Si0.85Ge0.15,240      840,Silicon Germanium alloy (85% Si)
SI98GE02,Si0.98Ge0.02,240      840,Silicon Germanium alloy (98% Si)
STINGAAS,Straineed InGaAs,240      840,Strained Indium Gallium Arsenide (varying In fraction 0-24%)
SINGAS0,GaAs,240      840,Indium Gallium Arsenide (strained: 0% In)
SINGAS10,In0.1Ga0.9As,240      840,Indium Gallium Arsenide (strained: 10% In)
SINGAS20,In0.2Ga0.8As,240      840,Indium Gallium Arsenide (strained: 20% In)
SINGAS24,In0.24Ga0.76As,240      840,Indium Gallium Arsenide (strained: 24% In)
SION,SiON,250      800,Silicon Oxynitride (varying N fraction 10-80%)
SION0,SiO,250      800,Silicon Oxynitride (10% N)                  
SION20,SiO0.8N0.2,250      800,Silicon Oxynitride (20% N)
SION40,SiO0.6N0.4,250      800,Silicon Oxynitride (40% N)
SION60,SiO0.4N0.6,250      800,Silicon Oxynitride (60% N)
SION80,SiO0.2N0.8,250      800,Silicon Oxynitride (80% N)
SIPOLY,Si,210     1239,Polysilicon
SIPOLY10,Poly Si,190     2479,
SIPOLY20,Poly Si,191     2479,
SIPOLY30,Poly Si,192     2479,
SIPOLY40,Poly Si,193     2479,
SIPOLY50,Poly Si,194     2479,
SIPOLY60,Poly Si,195     2479,
SIPOLY70,Poly Si,196     2479,
SIPOLY80,Poly Si,197     2479,
SIPOLY90,Poly Si,198     2479,
STSIGE,Strained SiGe ,275      619,Strained Silicon Germanium (varying Ge fraction 0-22%)
STSG0,Si,275      619,Silicon Germanium alloy (strained: 0% Ge)
STSG064,Si0.94Ge0.06,275      619,Silicon Germanium alloy (strained: 6% Ge)
STSG123,Si0.88Ge0.12,275      619,Silicon Germanium alloy (strained: 12% Ge)
STSG169,Si0.83Ge0.17,275      619,Silicon Germanium alloy (strained: 17% Ge)
STSG229,Si0.78Ge0.22,275      619,Silicon Germanium alloy (strained: 22% Ge)
ZNCDTE,ZnCdTe,229     1127,Zinc Cadmium Telluride (varying Cd fraction 0-100%)
ZNCDTE0,ZnTe,229     1127,Zinc Cadmium Telluride (0% Cd)
ZNCDTE1,Zn0.9Cd0.1Te,229     1127,Zinc Cadmium Telluride (10% Cd)
ZNCDTE3,Zn0.7Cd0.3Te,229     1127,Zinc Cadmium Telluride (30% Cd)
ZNCDTE5,Zn0.5Cd0.5Te,229     1127,Zinc Cadmium Telluride (50% Cd)
ZNCDTE7,Zn0.3Cd0.7Te,229     1127,Zinc Cadmium Telluride (70% Cd)
ZNCDTE9,Zn0.1Cd0.9Te,229     1127,Zinc Cadmium Telluride (90% Cd)
ZNCDTE10,CdTe,229     1127,Zinc Cadmium Telluride (100% Cd)
ZNSETE,ZnSeTe,196     1771,Zinc Selenium Telluride (varying Te fraction 0-100%)
ZNSETE0,ZnSe,196     1771,Zinc Selenium Telluride (0% Te)     *
ZNSETE1,ZnSe0.9Te0.1,196     1771,Zinc Selenium Telluride (10% Te)    *
ZNSETE3,ZnSe0.7Te0.3,196     1771,Zinc Selenium Telluride (30% Te)    *
ZNSETE5,ZnSe0.5Te0.5,196     1771,Zinc Selenium Telluride (50% Te)    *
ZNSETE7,ZnSe0.3Te0.7,196     1771,Zinc Selenium Telluride (70% Te)    *
ZNSETE9,ZnSe0.1Te0.9,196     1771,Zinc Selenium Telluride (90% Te)    *
ZNSETE10,ZnTe,196     1771,Zinc Selenium Telluride (100% Te)   *
